,Discharge.Montana abv McGinnis@near Juneau,Discharge.Montana abv McGinnis@near Juneau,Discharge.Montana abv McGinnis@near Juneau,Discharge.Montana abv McGinnis@near Juneau
mm/dd/yyyy HH:MM:SS,m^3/s,,,
Date-Time,Value,Grade,Approval,Interpolation Code
5/2/2021 1:30,1.354161363,,0,1
5/2/2021 1:45,1.345724808,,0,1
5/2/2021 2:00,1.345724808,,0,1
5/2/2021 2:15,1.337318378,,0,1
5/2/2021 2:30,1.337318378,,0,1
5/2/2021 2:45,1.320595779,,0,1
5/2/2021 3:00,1.320595779,,0,1
5/2/2021 3:15,1.295737131,,0,1
5/2/2021 3:30,1.287510873,,0,1
5/2/2021 3:45,1.30399335,,0,1
5/2/2021 4:00,1.279314549,,0,1
5/2/2021 4:15,1.246828037,,0,1
5/2/2021 4:30,1.26301159,,0,1
5/2/2021 4:45,1.254904902,,0,1
5/2/2021 5:00,1.246828037,,0,1
5/2/2021 5:15,1.222776108,,0,1
5/2/2021 5:30,1.214818262,,0,1
5/2/2021 5:45,1.214818262,,0,1
5/2/2021 6:00,1.206890102,,0,1
5/2/2021 6:15,1.191122725,,0,1
5/2/2021 6:30,1.183283453,,0,1
5/2/2021 6:45,1.183283453,,0,1
5/2/2021 7:00,1.167693604,,0,1
5/2/2021 7:15,1.183283453,,0,1
5/2/2021 7:30,1.152221825,,0,1
5/2/2021 7:45,1.152221825,,0,1
5/2/2021 8:00,1.129235046,,0,1
5/2/2021 8:15,1.129235046,,0,1
5/2/2021 8:30,1.136867891,,0,1
5/2/2021 8:45,1.114057456,,0,1
5/2/2021 9:00,1.114057456,,0,1
5/2/2021 9:15,1.106512655,,0,1
5/2/2021 9:30,1.106512655,,0,1
5/2/2021 9:45,1.098997146,,0,1
5/2/2021 10:00,1.098997146,,0,1
5/2/2021 10:15,1.091510898,,0,1
5/2/2021 10:30,1.084053885,,0,1
5/2/2021 10:45,1.069227445,,0,1
5/2/2021 11:00,1.069227445,,0,1
5/2/2021 11:15,1.069227445,,0,1
5/2/2021 11:30,1.054517596,,0,1
5/2/2021 11:45,1.047206321,,0,1
5/2/2021 12:00,1.054517596,,0,1
5/2/2021 12:15,1.047206321,,0,1
5/2/2021 12:30,1.054517596,,0,1
5/2/2021 12:45,1.039924107,,0,1
5/2/2021 13:00,1.025446746,,0,1
5/2/2021 13:15,1.061857961,,0,1
5/2/2021 13:30,1.047206321,,0,1
5/2/2021 13:45,1.032670926,,0,1
5/2/2021 14:00,1.039924107,,0,1
5/2/2021 14:15,1.054517596,,0,1
5/2/2021 14:30,1.047206321,,0,1
5/2/2021 14:45,1.047206321,,0,1
5/2/2021 15:00,1.039924107,,0,1
5/2/2021 15:15,1.047206321,,0,1
5/2/2021 15:30,1.054517596,,0,1
5/2/2021 15:45,1.047206321,,0,1
5/2/2021 16:00,1.054517596,,0,1
5/2/2021 16:15,1.047206321,,0,1
5/2/2021 16:30,1.061857961,,0,1
5/2/2021 16:45,1.076626077,,0,1
5/2/2021 17:00,1.076626077,,0,1
5/2/2021 17:15,1.084053885,,0,1
5/2/2021 17:30,1.084053885,,0,1
5/2/2021 17:45,1.069227445,,0,1
5/2/2021 18:00,1.098997146,,0,1
5/2/2021 18:15,1.106512655,,0,1
5/2/2021 18:30,1.114057456,,0,1
5/2/2021 18:45,1.106512655,,0,1
5/2/2021 19:00,1.106512655,,0,1
5/2/2021 19:15,1.106512655,,0,1
5/2/2021 19:30,1.106512655,,0,1
5/2/2021 19:45,1.121631577,,0,1
5/2/2021 20:00,1.121631577,,0,1
5/2/2021 20:15,1.121631577,,0,1
5/2/2021 20:30,1.136867891,,0,1
5/2/2021 20:45,1.136867891,,0,1
5/2/2021 21:00,1.152221825,,0,1
5/2/2021 21:15,1.144530141,,0,1
5/2/2021 21:30,1.152221825,,0,1
5/2/2021 21:45,1.159942969,,0,1
5/2/2021 22:00,1.152221825,,0,1
5/2/2021 22:15,1.152221825,,0,1
5/2/2021 22:30,1.159942969,,0,1
5/2/2021 22:45,1.159942969,,0,1
5/2/2021 23:00,1.159942969,,0,1
5/2/2021 23:15,1.175473756,,0,1
5/2/2021 23:30,1.159942969,,0,1
5/2/2021 23:45,1.167693604,,0,1
5/3/2021 0:00,1.159942969,,0,1
5/3/2021 0:15,1.167693604,,0,1
5/3/2021 0:30,1.152221825,,0,1
5/3/2021 0:45,1.144530141,,0,1
5/3/2021 1:00,1.152221825,,0,1
5/3/2021 1:15,1.144530141,,0,1
5/3/2021 1:30,1.136867891,,0,1
5/3/2021 1:45,1.136867891,,0,1
5/3/2021 2:00,1.144530141,,0,1
5/3/2021 2:15,1.136867891,,0,1
5/3/2021 2:30,1.129235046,,0,1
5/3/2021 2:45,1.121631577,,0,1
5/3/2021 3:00,1.121631577,,0,1
5/3/2021 3:15,1.129235046,,0,1
5/3/2021 3:30,1.114057456,,0,1
5/3/2021 3:45,1.114057456,,0,1
5/3/2021 4:00,1.114057456,,0,1
5/3/2021 4:15,1.098997146,,0,1
5/3/2021 4:30,1.106512655,,0,1
5/3/2021 4:45,1.098997146,,0,1
5/3/2021 5:00,1.098997146,,0,1
5/3/2021 5:15,1.091510898,,0,1
5/3/2021 5:30,1.091510898,,0,1
5/3/2021 5:45,1.076626077,,0,1
5/3/2021 6:00,1.084053885,,0,1
5/3/2021 6:15,1.069227445,,0,1
5/3/2021 6:30,1.061857961,,0,1
5/3/2021 6:45,1.061857961,,0,1
5/3/2021 7:00,1.061857961,,0,1
5/3/2021 7:15,1.047206321,,0,1
5/3/2021 7:30,1.061857961,,0,1
5/3/2021 7:45,1.047206321,,0,1
5/3/2021 8:00,1.032670926,,0,1
5/3/2021 8:15,1.039924107,,0,1
5/3/2021 8:30,1.039924107,,0,1
5/3/2021 8:45,1.032670926,,0,1
5/3/2021 9:00,1.025446746,,0,1
5/3/2021 9:15,1.018251541,,0,1
5/3/2021 9:30,1.032670926,,0,1
5/3/2021 9:45,1.018251541,,0,1
5/3/2021 10:00,1.018251541,,0,1
5/3/2021 10:15,1.018251541,,0,1
5/3/2021 10:30,1.018251541,,0,1
5/3/2021 10:45,1.01108528,,0,1
5/3/2021 11:00,1.003947935,,0,1
5/3/2021 11:15,0.996839476,,0,1
5/3/2021 11:30,1.01108528,,0,1
5/3/2021 11:45,1.003947935,,0,1
5/3/2021 12:00,1.003947935,,0,1
5/3/2021 12:15,0.989759873,,0,1
5/3/2021 12:30,1.018251541,,0,1
5/3/2021 12:45,0.996839476,,0,1
5/3/2021 13:00,1.01108528,,0,1
5/3/2021 13:15,1.01108528,,0,1
5/3/2021 13:30,1.01108528,,0,1
5/3/2021 13:45,1.003947935,,0,1
5/3/2021 14:00,1.025446746,,0,1
5/3/2021 14:15,1.032670926,,0,1
5/3/2021 14:30,1.003947935,,0,1
5/3/2021 14:45,1.018251541,,0,1
5/3/2021 15:00,1.039924107,,0,1
5/3/2021 15:15,1.032670926,,0,1
5/3/2021 15:30,1.032670926,,0,1
5/3/2021 15:45,1.047206321,,0,1
5/3/2021 16:00,1.039924107,,0,1
5/3/2021 16:15,1.054517596,,0,1
5/3/2021 16:30,1.076626077,,0,1
5/3/2021 16:45,1.069227445,,0,1
5/3/2021 17:00,1.084053885,,0,1
5/3/2021 17:15,1.091510898,,0,1
5/3/2021 17:30,1.098997146,,0,1
5/3/2021 17:45,1.098997146,,0,1
5/3/2021 18:00,1.114057456,,0,1
5/3/2021 18:15,1.121631577,,0,1
5/3/2021 18:30,1.121631577,,0,1
5/3/2021 18:45,1.136867891,,0,1
5/3/2021 19:00,1.152221825,,0,1
5/3/2021 19:15,1.159942969,,0,1
5/3/2021 19:30,1.175473756,,0,1
5/3/2021 19:45,1.183283453,,0,1
5/3/2021 20:00,1.191122725,,0,1
5/3/2021 20:15,1.206890102,,0,1
5/3/2021 20:30,1.238780968,,0,1
5/3/2021 20:45,1.254904902,,0,1
5/3/2021 21:00,1.27114813,,0,1
